Customer_Name,Cust_Type
Trusted Catalog Store,Gold
Sports Sales and Rental,Platinum
Requisite Part Supply,Gold
Red Bicycle Company,Gold
Latest Sports Equipment,Silver
Weekend Tours,Gold
Fitness Toy Store,Gold
Basic Bike Company,Silver
Separate Parts Corporation,Silver
Bike Dealers Association,Gold
"Health Spa, Limited",Gold
Curbside Universe,Platinum
Grease and Oil Products Company,Silver
Juvenile Sports Equipment,Silver
Fifth Bike Store,Gold
Vehicle Shop,Silver
Capable Sales and Service,Silver
Bike Rims Company,Gold
Small Cycle Store,Gold
Original Bicycle Supply Company,Platinum
Riding Excursions,Silver
Simple Bike Parts,Silver
General Bike Corporation,Silver
Clamps & Brackets Co.,Silver
Convenient Bike Shop,Silver
Area Bike Accessories,Gold
Historic Bicycle Sales,Platinum
Great Bikes,Platinum
World Bike Discount Store,Silver
Wheel Gallery,Gold
Retail Mall,Silver
Daring Rides,Platinum
Synthetic Materials Manufacturing,Silver
The Bike Shop,Gold
Seventh Bike Store,Gold
Friendly Bike Shop,Silver
Yellow Bicycle Company,Gold
First Bike Store,Silver
Better Bike Shop,Silver
Superb Sales and Repair,Platinum
A Bike Store,Silver
Sharp Bikes,Platinum
Catalog Store,Silver
Cross-Country Riding Supplies,Silver
Exotic Bikes,Platinum
Journey Sporting Goods,Gold
Every Bike Shop,Platinum
Metro Bike Mart,Platinum
Outdoor Sports Supply,Gold
Preferred Bikes,Silver
Rewarding Activities Company,Silver
Unified Sports Company,Gold
National Manufacturing,Silver
Wholesale Bikes,Silver
Wholesale Parts,Gold
Transportation Options,Silver
Only Bikes and Accessories,Silver
Raw Materials Inc,Silver
Tire Company,Gold
Suburban Cycle Shop,Silver
Farthermost Bike Shop,Silver
Non-Slip Pedal Company,Silver
Field Trip Inc,Silver
New and Used Bicycles,Silver
Professional Cyclists,Gold
Gasless Cycle Shop,Gold
Sure & Reliable Sporting Goods,Silver
Wire Baskets and Parts,Silver
Swift Cycles,Gold
Rental Bikes,Gold
Highway Bike Shop,Platinum
Active Transport Inc.,Silver
Alternative Vehicles,Platinum
Tread Industries,Silver
Moderately-Priced Bikes Store,Gold
The Gear Store,Silver
Resale Services,Silver
Metropolitan Manufacturing,Silver
